listing_id,name,city,neighborhood,room_type,accommodates,property_type,price,review_scores_rating
956126149466173696,Spacious SE Bungalow - WFH Bliss,Portland,Foster-Powell,Entire home/apt,4,Entire home,173.0,5.0
639985681276299264,Natural light. Studio ADU + Loft. Parking on-site,Portland,Southwest Hills,Entire home/apt,3,Entire guesthouse,80.0,5.0
1291573482930896896,Cozy Getaway,Portland,Brooklyn Action Corps,Entire home/apt,4,Entire rental unit,116.0,5.0
15113378,"Views, close to OHSU and PSU.  Parking included.",Portland,Portland Downtown,Entire home/apt,4,Entire condo,85.0,5.0
984167458407555584,Ivon Street Dual Suite Rowhome,Portland,Hosford-Abernethy,Entire home/apt,4,Entire home,96.0,5.0
1203754833257046272,City Serenity: Stylish 2-Bed in heart of St. Johns,Portland,St. Johns,Entire home/apt,5,Entire rental unit,160.0,5.0
1105061881783948928,Modern 1BR Apartment - Free Parking!,Portland,Pearl,Entire home/apt,4,Entire rental unit,186.0,5.0
974257294889296128,My Little Jewel Box,Portland,Northwest District,Entire home/apt,2,Entire rental unit,75.0,5.0
1191465502742862848,The Artist''s Oasis on Alberta,Portland,Humboldt,Entire home/apt,4,Entire rental unit,157.0,5.0
35605973,Cozy Sunnyside Flat in Historic Home,Portland,Sunnyside,Entire home/apt,6,Entire rental unit,84.0,5.0
800756909716372224,Beautiful Bedroom/Bath near OHSU - Women Only,Portland,South Portland,Private room,1,Private room in townhouse,49.0,5.0
843085266516991616,Gorgeous new renovation in Alberta Arts District!,Portland,King,Entire home/apt,6,Entire home,139.0,5.0
958145188311797376,The Madrona House,Portland,Overlook,Entire home/apt,6,Entire home,138.0,5.0
834256182681884800,"Midcentury Haven, plus a doggo!",Portland,Parkrose Heights,Private room,2,Private room in home,60.0,5.0
1334928846332498944,Casa Azulita,Portland,Sumner,Private room,2,Private room in home,51.0,5.0
819022636683134592,Cozy Woodstock Bungalow,Portland,Woodstock,Entire home/apt,2,Entire home,85.0,5.0
726881571984081536,"Hillsdale Guest House, Close-In SW Portland",Portland,Bridlemile,Entire home/apt,3,Entire home,127.0,5.0
1111136208647307392,North East Portland - River View Apt!,Portland,Overlook,Entire home/apt,2,Entire rental unit,110.0,5.0
20526629,Beautiful apartment in tranquil SW,Portland,Marshall Park,Entire home/apt,2,Entire rental unit,61.0,5.0
46144002,Cute Cully Cottage,Portland,Cully,Entire home/apt,4,Entire home,220.0,5.0
15573458,Beautiful Oasis in NE Portland!,Portland,Roseway,Private room,2,Private room in home,55.0,5.0
51925459,The Redwood Shed,Portland,Arbor Lodge,Entire home/apt,3,Entire guesthouse,84.0,5.0
791444049755178496,The Boho Tiny House @Tiny Digs Hotel Bohemian Vibe,Portland,Kerns,Entire home/apt,3,Room in boutique hotel,182.0,5.0
996430199712251776,Entire house with gated yard!,Portland,Concordia,Entire home/apt,3,Entire home,88.0,5.0
1169661069606795264,The Michael,Portland,Pearl,Entire home/apt,2,Entire condo,122.0,5.0
965917701407953792,2BR Minutes Walk from OHSU! (18A),Portland,Homestead,Entire home/apt,4,Entire rental unit,92.0,5.0
729180941575654400,Long Term Architectural SW Hills 3bed 2 bath,Portland,Hillsdale,Entire home/apt,6,Entire home,350.0,5.0
50089324,"Remodeled, Quiet, Safe, Walkable, Bikable, Comfort",Portland,Rose City Park,Entire home/apt,3,Entire rental unit,110.0,5.0
50916194,Sunny one bedroom flat  with private yard,Portland,Hayhurst,Entire home/apt,3,Entire guesthouse,86.0,5.0
2349023,Cozy Williams Ave Victorian.   Walk to Everything!,Portland,Boise,Entire home/apt,5,Entire home,175.0,5.0
1063789741515155328,Creekside Sanctuary in the City,Portland,Marshall Park,Entire home/apt,6,Entire home,85.0,5.0
51575566,Urban Nature Sanctuary,Portland,East Columbia,Entire home/apt,4,Entire home,170.0,5.0
37969468,Beautiful Updated Quiet Condo with Parking Stall!,Portland,Goose Hollow,Entire home/apt,3,Entire condo,70.0,5.0
12002530,Northberry PDX | Bright 1 BR Guesthouse | Balcony,Portland,Overlook,Entire home/apt,4,Entire guest suite,131.0,5.0
1002492024592966656,Cozy urban Living on the River.,Portland,South Portland,Entire home/apt,4,Entire rental unit,100.0,5.0
1111752122797633792,New! SW Hills Private Studio Apt,Portland,Southwest Hills,Entire home/apt,2,Entire rental unit,62.0,5.0
1039951678032368512,Family Farm Camper,Portland,Powellhurst-Gilbert,Entire home/apt,4,Camper/RV,108.0,5.0
1160912206896028672,Stylish 2-bed pet-friendly house near MAX Line,Portland,Kenton,Entire home/apt,5,Entire home,80.0,5.0
1085560406442361216,Cute Home with Private Deck Near Downtown Portland,Portland,Southwest Hills,Entire home/apt,2,Entire home,98.0,5.0
982596981779167104,Urban Oasis in the Heart of the Pearl District,Portland,Pearl,Entire home/apt,2,Entire condo,89.0,5.0
968960713848236416,Hazelnut Suite - 204,Portland,Buckman,Private room,2,Room in boutique hotel,184.0,5.0
46067020,*Brand New Modern Woods Home,Portland,Forest Park,Entire home/apt,2,Entire home,113.0,5.0
938416579663327744,Brand New 3 BR Home Near Alberta,Portland,Concordia,Entire home/apt,8,Entire home,315.0,5.0
42814644,6 Bedroom/3 Bath Ideal for Groups,Portland,Hazelwood,Entire home/apt,11,Entire home,350.0,5.0
1159531916699279360,The PDX,Portland,Portland Downtown,Entire home/apt,2,Entire rental unit,119.0,5.0
881889716889991424,The Canary,Portland,Mt. Scott-Arleta,Entire home/apt,2,Tiny home,57.0,5.0
1060953051114421760,Charming Alberta Park Duplex,Portland,Vernon,Entire home/apt,3,Entire home,89.0,5.0
10596867,"Clean, Modern Townhouse w/ Patio in walkable area",Portland,Buckman,Entire home/apt,2,Entire townhouse,128.0,5.0
1214723263883701760,Portland Oasis ~ Stylish 4br Home in Nob Hill,Portland,Northwest District,Entire home/apt,12,Entire home,364.0,5.0
1247354645003773440,The Michelle,Portland,Portsmouth,Entire home/apt,6,Entire home,130.0,5.0
1145527687477416192,"Cozy,  Stylish, Comfortable Room with work space!",Portland,Centennial,Private room,1,Private room in home,35.0,5.0
1158374014587115520,Deluxe Queen | Vibrant Locale + Pulitzer Display,Portland,Portland Downtown,Private room,2,Room in boutique hotel,110.0,5.0
9736647,Sunnyside Sanctuary_Belmont/Hawthorne/Laurelhurst,Portland,Sunnyside,Entire home/apt,5,Entire home,300.0,5.0
1241401230164040960,BoHo Oasis in Ladd''s Addition with 2 Beds,Portland,Hosford-Abernethy,Entire home/apt,3,Entire rental unit,79.0,5.0
42878671,Modern Portland  Craftsman in heart of Mississippi,Portland,Boise,Entire home/apt,5,Entire home,225.0,5.0
922076577301419648,Southwest PDX Casita near Max/Airport &  I84/205,Portland,Parkrose,Entire home/apt,4,Entire guesthouse,104.0,5.0
842975023676053504,"Rent Entire Hotel for Weddings, Reunions, and More",Portland,Kenton,Entire home/apt,16,Entire rental unit,1464.0,5.0
54167263,Studio Retreat in the City,Portland,Hayhurst,Entire home/apt,2,Entire guest suite,72.0,5.0
1121222625110476416,Private Retreat in Portland,Portland,Richmond,Entire home/apt,4,Entire home,79.0,5.0
966731493012568704,Modern living heart of The Pearl,Portland,Pearl,Entire home/apt,2,Entire rental unit,56.0,5.0
739973521873812608,Private studio in SE Portland!,Portland,Lents,Entire home/apt,3,Entire guesthouse,66.0,5.0
846229264348083968,"Spacious, Sunlit Laurelhurst Park Apartment",Portland,Laurelhurst,Entire home/apt,1,Entire rental unit,52.0,5.0
1216732408482351104,Urban Rose Residence - Downtown & OHSU Proximity!,Portland,South Portland,Entire home/apt,10,Entire home,357.0,5.0
27229222,Portland Bungalow,Portland,Sellwood-Moreland Improvement League,Entire home/apt,4,Entire bungalow,175.0,5.0
791444103112530560,Merlot Tiny House @ Tiny Digs Hotel- Vineyard Vibe,Portland,Kerns,Entire home/apt,2,Room in boutique hotel,170.0,5.0
1074596637948145664,Tulip Tree,Portland,King,Entire home/apt,4,Entire rental unit,76.0,5.0
9276925,Lovely FURNISHED riverfront condo,Portland,Pearl,Entire home/apt,4,Entire condo,167.0,5.0
50196569,Lovely Ladds Addition Garden Suite,Portland,Hosford-Abernethy,Entire home/apt,4,Entire guest suite,116.0,5.0
47779834,Riposo: A private artistic getaway,Portland,King,Entire home/apt,2,Entire rental unit,92.0,5.0
668314893844780928,"Portland Getaway – Walkable, Welcoming, Cozy Stay!",Portland,Sellwood-Moreland Improvement League,Entire home/apt,4,Entire home,110.0,5.0
1243640964236876800,Waterfront w/ Mt. St. Helen''s,Portland,South Portland,Entire home/apt,2,Entire rental unit,95.0,5.0
1158374972316359680,ADA Queen | Historic Place + Exceptional Service,Portland,Portland Downtown,Private room,2,Room in boutique hotel,0.0,5.0
887745300179116160,2 bdrm Lovely Peace of Paradise w/ secure parking,Portland,Portland Downtown,Entire home/apt,4,Entire condo,129.0,5.0
25892907,Light and bright condo with free parking,Portland,Portland Downtown,Entire home/apt,4,Entire condo,56.0,5.0
812547650130131200,"Burnside Manor, ideal location! (Room A3)",Portland,Kerns,Private room,1,Private room in home,36.0,5.0
807235981511526656,Luxury Apartment with Laundry in Best Neighborhood,Portland,King,Entire home/apt,4,Entire rental unit,109.0,5.0
706075161785155584,Brand New Bright 1 Bedroom Guest House w Sun Deck,Portland,Richmond,Entire home/apt,3,Entire guesthouse,86.0,5.0
799449671971820544,Modern studio in beautiful historic Laurelhurst,Portland,Laurelhurst,Entire home/apt,2,Entire guest suite,55.0,5.0
1196555556406046976,Charming & Spacious 2BR Home in SE Portland,Portland,Foster-Powell,Entire home/apt,4,Entire home,155.0,5.0
958042741495561984,Kenton Cottage,Portland,Kenton,Entire home/apt,4,Entire home,112.0,5.0
540829827019588032,Alphabet district home by Forest Park and 23rd Ave,Portland,Northwest District,Entire home/apt,4,Entire home,121.0,5.0
1296367678914617856,MidCentury Dream 2BR  - 95 WalkScore,Portland,Sunnyside,Entire home/apt,4,Entire home,131.0,5.0
1172160124928596224,Elegant Nob Hill Victorian,Portland,Northwest District,Entire home/apt,5,Entire home,160.0,5.0
623396095685323008,Lovely quiet home near N. Mississippi,Portland,Overlook,Entire home/apt,5,Entire home,106.0,5.0
910913013732711552,Colorful & Cozy Basement Getaway,Portland,Rose City Park,Entire home/apt,4,Entire guesthouse,110.0,5.0
881431286255017344,Modern condo in North Tabor,Portland,North Tabor,Entire home/apt,3,Entire home,110.0,5.0
785568217785068544,Cozy retreat close to all the fun!,Portland,Richmond,Entire home/apt,2,Entire rental unit,74.0,5.0
30980830,"Business Travel Dream - Spacious, Luxurious 2 Bed",Portland,Richmond,Private room,5,Private room in condo,89.0,5.0
1135723702408280704,"Easy living, close to everything",Portland,Eliot,Entire home/apt,2,Entire rental unit,75.0,5.0
34014563,Concordia Annex,Portland,Concordia,Entire home/apt,4,Entire guesthouse,117.0,5.0
39874259,Private Room in Kenton - North Portland,Portland,Kenton,Private room,1,Private room in home,43.0,5.0
29126487,4B2bRemodel Craftsman:Porches/Town/Grant/Irvington,Portland,Grant Park,Entire home/apt,16,Entire home,120.0,5.0
15974802,Waterfront Condo In The Heart Of Downtown Portland,Portland,Old Town/Chinatown,Entire home/apt,2,Entire condo,100.0,5.0
51923722,Very Private Cottage Alberta Arts!,Portland,Vernon,Entire home/apt,3,Entire home,104.0,5.0
954592780029610752,Cozy Bedroom in Walkable NE Portland,Portland,Montavilla,Private room,1,Private room in home,38.0,5.0
1061576402809179776,The Rachel,Portland,North Tabor,Entire home/apt,4,Entire home,135.0,5.0
36200533,"Hotel Rose, Suite of Roses Accessible w/Shower",Portland,Portland Downtown,Private room,2,Room in boutique hotel,0.0,5.0
1152867887268827136,Downtown Adventure | Studio Suite + Local Touches,Portland,Portland Downtown,Private room,4,Room in boutique hotel,151.0,5.0
8813922,Modern Guest House - Concordia,Portland,Concordia,Entire home/apt,2,Entire guest suite,93.0,5.0
1060970093786538368,Super Cute Vintage Apt in the Heart of SE,Portland,Richmond,Entire home/apt,2,Entire rental unit,75.0,5.0
811068227606969728,"Burnside manor, perfect location (Room A2)",Portland,Kerns,Private room,1,Private room in home,35.0,5.0
1145760001781211136,Artsy Dual Suite Bungalow,Portland,Vernon,Entire home/apt,6,Entire home,223.0,5.0
13750038,Beautiful Pearl District Loft with On-Site Parking,Portland,Pearl,Entire home/apt,2,Entire loft,100.0,5.0
890622252402648704,Urban Rustic,Portland,Cully,Entire home/apt,4,Entire home,145.0,5.0
630606067983802496,"Fenced Yard! Pet Friendly, 3 Bedroom, no fees",Portland,South Portland,Entire home/apt,7,Entire home,200.0,5.0
7769491,Minimalist Basement Unit in Historic Irvington,Portland,Irvington,Entire home/apt,2,Entire guesthouse,107.0,5.0
878278378268415104,"Burnside Manor, best location, full 1bd (Unit B)",Portland,Kerns,Entire home/apt,2,Entire home,51.0,5.0
1087325550559254528,Comfy Mt Tabor Studio,Portland,Mt. Tabor,Entire home/apt,2,Entire guesthouse,91.0,5.0
797791392938976384,Cute Remodeled Two Bed Townhouse,Portland,Richmond,Entire home/apt,4,Entire rental unit,70.0,5.0
1184187416444231680,Artful Abode | SE Portland Home w/ Backyard Oasis,Portland,Creston-Kenilworth,Entire home/apt,5,Entire home,107.0,5.0
1273213402982038528,Squiggly Room,Portland,Mt. Scott-Arleta,Private room,2,Private room in home,68.0,5.0
733406666073449216,Comfortable 2 Bedroom with a spectacular view,Portland,University Park,Entire home/apt,4,Entire home,110.0,5.0
1089979460633659136,Alberta Arts District Home w/ Private Hot Tub!,Portland,King,Entire home/apt,10,Entire home,144.0,5.0
30591779,Private room in SE,Portland,Brentwood-Darlington,Private room,2,Private room in townhouse,49.0,5.0
17498339,Large Private Home - King Bed,Portland,West Portland Park,Entire home/apt,16,Entire home,500.0,5.0
1053071654716102272,Perfect Ladd''s Addition Loft ~ Breweries & Bars,Portland,Hosford-Abernethy,Entire home/apt,6,Entire home,180.0,5.0
807167221557469824,"Sunstone House walkable, wi-fi, transit/dining",Portland,Kenton,Private room,1,Private room in townhouse,33.0,5.0
3104395,~..++ Sweet N. Portland Loft ++.._~,Portland,Humboldt,Entire home/apt,2,Entire loft,190.0,5.0
1170484550963230464,Burnside Manor-superb location - (Room #1),Portland,Kerns,Private room,1,Private room in home,35.0,5.0
1226793510635392768,Luxury Apartment in Central Pearl 6a,Portland,Pearl,Entire home/apt,6,Entire rental unit,217.0,5.0
48739618,Spacious 4BR Family Home in Portland M#41001,Portland,Northwest Heights,Entire home/apt,8,Entire home,389.0,5.0
1118544892202820736,"Mt Park near OHSU, PCC,  DT Portland & Lake Oswego",Portland,Far Southwest,Private room,2,Private room in home,68.0,5.0
12900085,Quiet Neighborhood near Glendoveer,Portland,Wilkes,Entire home/apt,6,Entire home,135.0,5.0
1315393117057465344,Remodeled Home in the Heart of Hawthorne,Portland,Richmond,Entire home/apt,4,Entire home,82.0,5.0
616076192948187520,Lovely one bedroom with instant access to OHSU!,Portland,Homestead,Entire home/apt,3,Entire serviced apartment,67.0,5.0
1232043523557527808,SW Portland 4BR/3BA | 2 King Suites | Perfect for,Portland,South Burlingame,Entire home/apt,8,Entire home,224.0,5.0
